file,app,camera,blur,share,iteration,condition,name,avg_power_W,total_energy_J,total_time_s,EDP_Js,n_samples_power
results\teams_blur_8.csv,teams,,on,,8,teams_blur,teams_blur_8.csv,7.264061035606608,218.38363647460938,30.069,6566.577565155029,151
results\teams_blur_9.csv,teams,,on,,9,teams_blur,teams_blur_9.csv,7.168847525760378,214.25050354003906,29.893,6404.590302322388,150
results\teams_camera_off_1.csv,teams,off,,,1,teams_camera_off,teams_camera_off_1.csv,5.513213442673822,161.50503540039062,29.307000000000002,4733.228072479248,147
results\teams_camera_off_10.csv,teams,off,,,10,teams_camera_off,teams_camera_off_10.csv,5.746738027655264,169.58990478515625,29.516000000000002,5005.6156296386725,148
results\teams_camera_off_11.csv,teams,off,,,11,teams_camera_off,teams_camera_off_11.csv,7.046948958289324,206.51022338867188,29.304000000000002,6051.5755861816415,147
results\teams_camera_off_12.csv,teams,off,,,12,teams_camera_off,teams_camera_off_12.csv,5.793340769191996,172.0048370361328,29.697000000000003,5108.027645462036,149
results\teams_camera_off_13.csv,teams,off,,,13,teams_camera_off,teams_camera_off_13.csv,6.717479585637702,199.43722534179688,29.677,5918.698536468506,149
results\teams_camera_off_14.csv,teams,off,,,14,teams_camera_off,teams_camera_off_14.csv,5.785596794364146,171.9219360351526,29.714,5108.488407348525,149
results\teams_camera_off_15.csv,teams,off,,,15,teams_camera_off,teams_camera_off_15.csv,6.398448951550134,188.69006347656614,29.489000000000004,5564.28128186046,148
results\teams_camera_off_16.csv,teams,off,,,16,teams_camera_off,teams_camera_off_16.csv,6.106956206073307,177.67831420898074,29.103,5170.971978423967,146
results\teams_camera_off_17.csv,teams,off,,,17,teams_camera_off,teams_camera_off_17.csv,6.555113930279273,194.60968017578125,29.688000000000002,5777.572185058594,149
results\teams_camera_off_18.csv,teams,off,,,18,teams_camera_off,teams_camera_off_18.csv,6.3174937247366545,187.61570739746094,29.699000000000005,5571.998893997194,149
results\teams_camera_off_19.csv,teams,off,,,19,teams_camera_off,teams_camera_off_19.csv,6.453027730603821,189.1845703125,29.308000000000003,5544.621386718751,147
